customer_number,route_number,account_name,address,city,state,zip_code,service_days,avg_wkly_volume,latitude,longitude,uniform_customer
244653,2502-01,Institute Of Tech - Garments,1755 Hilltop Dr,Redding,CA,96002-0250,M,$0 ,40.58141,-122.357773,0
291365,2502-01,SC-AG Dept,3179 Bechelli Ln Ste 210,Redding,CA,96002,M,$7 ,40.62812,-122.38913,0
285128,2502-01,Simpson U Nursing,2211 College View Dr,Redding,CA,96003,MWF,$0 ,40.61817,-122.32935,0
274952,2502-03,Vibra - Housekeeping,2801 Eureka Way,Redding,CA,960010222,MWF,$581 ,40.585765,-122.413179,0
273930,2502-03,Vibra Hospital of Northern Calif,2801 Eureka Way,Redding,CA,960010222,MWF,"$2,117 ",40.585765,-122.413179,220
274954,2502-03,Vibra - Dietary,2801 Eureka Way,Redding,CA,960010222,MWF,$124 ,40.585765,-122.413179,0
257401,2502-05,COR Fire Station #4 Rdg,2605 S Bonnyview Rd,Redding,CA,960014516,T,$37 ,40.530819,-122.376823,0
170671,2502-05,Redding Oil Co. Pinegrove,2725 Cascade Blvd,Shasta Lake City,CA,96019,R,$39 ,40.66351,-122.35695,0
170686,2502-05,Wolfgang,1117 Parkview Ave,Redding,CA,96001-3203,M,$14 ,40.573238,-122.385948,0
170696,2502-05,COR Building Maintenance rdg,"20055 Viking Way, Bldg 4",Redding,CA,960038295,F,$3 ,40.578331,-122.312401,0
256387,2502-05,Kevin Kay Restorations,1530 Charles Dr,Redding,CA,960031459,R,$101 ,40.62999,-122.374817,2
242166,2502-05,PG&E Redding,3600 Meadow View Dr,Redding,CA,96002-9701,W,$63 ,40.498379,-122.304672,0
293382,2502-05,Kilby Equipment Repair,2650 Larkspur Lane,Redding,CA,96002,R,$37 ,40.56839,-122.35634,6
315176,2502-05,Integrity Heating & Air,5213 Industrial Way,Anderson,CA,96007,W,$130 ,40.46887,-122.32099,110
317106,2502-05,Shasta Lake Middle School - Cafeteria,4620 Vallecito Street,Shasta Lake,CA,96019,R,$37 ,40.67346,-122.36323,0
320902,2502-05,Cinders and Taste & See,2820 Freeman Street,Anderson,CA,96007,W,$65 ,40.44911,-122.29744,0
321459,2502-05,Poinsett's Machine Shop,2486 Progress Drive #3,Redding,CA,96001,M,$28 ,40.55705,-122.38473,1
201377,2502-05,Monarch Learning Crt,5307 Cedars Rd,Redding,CA,96001-4102,T,$79 ,40.53756,-122.389107,0
274378,2502-05,Kaleidoscope Coffee,2258 North St,Anderson,CA,960073437,W,$27 ,40.45355,-122.29792,0
291462,2502-05,Shasta Lake City Community Center,4499 Main Street,Shasta Lake,CA,96019,R,$0 ,40.682083,-122.365047,0
303441,2502-05,California Dance Company,2150 Marx Way #1,Anderson,CA,96007,W,$52 ,40.4416,-122.29026,0
317098,2502-05,Buckeye School of Arts,3407 Hiatt Drive,Redding,CA,96003,F,$80 ,40.63004,-122.40314,0
257302,2502-05,COR Solid Waste Admin ,2255 Abernathy Ln,Redding,CA,960038057,F,$10 ,40.575298,-122.314789,0
257303,2502-05,COR Wastewater Collection Rdg,"20005 Viking Way, Bldg 3",Redding,CA,960038295,F,$7 ,40.578348,-122.314354,0
247562,2502-05,Shasta Lake W/Water, Tibitts Road,Shasta Lake,CA,96019,R,$15 ,40.659879,-122.38991,0
171474,2502-05,Seco Manufacturing  Co.,4155 Oasis Rd,Redding,CA,96003-0859,R,$104 ,40.633289,-122.391144,12
272996,2502-05,Torr Industries - D/S,4564 Caterpillar Rd,Redding,CA,96003-1418,M,$0 ,40.6271,-122.38258,0
283613,2502-05,Shasta Lake Shell,1725 Cascade Blvd,Shast Lake,CA,96019,R,$22 ,40.6795,-122.35089,0
287458,2502-05,A-1 Smog & Auto Repair,513 North Market Street,Redding,CA,96003,T,$132 ,40.59902,-122.38382,80
291132,2502-05,SC-Corp Yard - Shop,4413 Eastside Rd,Redding,CA,96001,T,$73 ,40.55154,-122.38678,92
295194,2502-05,Big O Tires,377 E. Cypress,Redding,CA,96002,M,$359 ,40.57053,-122.36573,277
318368,2502-05,Dan Palmer Trucking,7211 Sands Lane,Anderson,CA,96007,T,$157 ,40.49594,-122.37584,30
319476,2502-05,Shasta Lake Electric,3570 Iron Court,Shasta Lake,CA,96019,R,$14 ,40.65733,-122.38433,0
257247,2502-05,COR Solid Waste Lunch Rm,2255 Abernathy Ln,Redding,CA,960038057,F,$22 ,40.575298,-122.314789,0
170691,2502-05,Good News - Kitchen,2842 S Market St,Redding,CA,96001-3215,M,$142 ,40.570068,-122.388138,0
170698,2502-05,Outdoor Creations,2270 Barney Rd,Anderson,CA,96007-4305,W,$266 ,40.442768,-122.289993,40
209405,2502-05,PG&E Rdg Gc Line,3600 Meadow View Dr,Redding,CA,960029701,W,$50 ,40.498389,-122.304417,0
257379,2502-05,COR Stillwater Treatmentrdg,6475 Airport Road,Anderson,CA,96007,W,$41 ,40.475469,-122.286801,33
171215,2502-05,Cascade Un Em Trans,1645 Mill St,Anderson,CA,96007-3226,W,$53 ,40.447774,-122.306804,30
