textbox1,CustomerNum,stmt_freq,acct_type,dlvr_cd,trip_days,install_dt,acct_avg_volume,dlvr_name,stop_min,AverageMaintenanceRevenue,dlvr_addr,CalculationName,envrn_chrg_pct,AverageReplacementRevenue,dlvr_city,upchrg_dscnt,AverageDirectSales,empl_num,item_num,item_desc,size_misc,identity,identity2,reg_invty_qty,spec_invty_qty,unit_price,price_chng_dt,flat_rate_min,dlvr_freq,avg_delivery,item_avg_volume
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,7244000,Hyperbaric-Pat-Gown,ADULT, ,10/10/10/10/10,10,0,1,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,7244234,Hyperbaric-Plw Slip,42X34, ,20/20/20/20/20,20,0,0.5,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,7246604,Hyperbaric-Twin Sht,66X104, ,55/55/55/55/55,55,0,1,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,7247090,HYPERBARIC-BATH BLNK,70X90, ,20/20/20/20/20,20,0,2,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,14200003,TWL-MICRO-YLW-15X16,15x16, ,10/10/10/10/10,10,0,0.2,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,41340000,Towel-Bath-Jumbo,, ,5/5/5/5/5,5,0,0.4,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,41820000,WASH CLOTH,, ,15/15/15/15/15,15,0,0.25,2/7/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,0,44300000,LNDRY BG-BIO HAZ-YLW,30X40, ,,4,0,1,2/19/2025,100%,8047,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,2,92472000,HYPERBARIC SCRB TP M,MED,HYPERBARIC SCRUB MED - COG,,5,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,2,92482000,HYPERBARIC SCRB PT M,MED,HYPERBARIC SCRUB MED - COG,,5,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,3,92473000,HYPERBARIC SCRB TP L,LRG,HYPERBARIC SCRUB LARGE - COG,,35,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,3,92483000,HYPERBARIC SCRB PT L,LRG,HYPERBARIC SCRUB LARGE - COG,,35,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,4,92474000,HYPERBARIC SCRUB TP,XLRG,HYPERBARIC SCRUB XL - COG,,5,0,0.5,2/7/2025,100%,7517,0,0
Plant 2502,321728,11L,TIE,MULT,MTWHF..,8/8/2024,$738.75 ,DH Wound Care - Mercy Medical Center,$0.00 ,101.66,1950 Rosaline Avenue Suite A,IM: Quantity Delivered,9.00%,0,"Redding, CA",15.00%,0,4,92484000,HYPERBARIC SCB TP XL,XLRG,HYPERBARIC SCRUB XL - COG,,25,0,0.5,2/7/2025,100%,7517,0,0
