LocationID,PlantAccountDepartment,Territory,dlvr_name,dlvr_Addr,dlvr_city,dlvr_state,dlvr_Zip,WeeksVisited,DaysVisited,AmountPerCycle,stop_sequence_1,stop_sequence_2,stop_sequence_3,stop_sequence_4,stop_sequence_5,stop_sequence_6,stop_sequence_7,lbs,avg_wkly_volume1,latitude,longitude,CycleVolume,GarmentChanges,AccountTypeID,Plant,DeliveryID
244653,2502-111000-10,2502-01,Institute Of Tech - Garments,1755 Hilltop Dr,Redding,CA,96002-0250,XX,M,2,111,0,0,0,0,0,0,0,$0,40.581410,-122.357773,$0,0,I,2502,35885
291365,2502-000000-00,2502-01,SC-AG Dept,3179 Bechelli Ln Ste 210,Redding,CA,96002,XX,M,2,1,0,0,0,0,0,0,0,$7,40.628120,-122.389130,$14,0,T,2502,108597
285128,2502-000000-00,2502-01,Simpson U Nursing,2211 College View Dr,Redding,CA,96003,XX,MWF,2,1,0,1,0,1,0,0,0,$0,40.618170,-122.329350,$0,0,T,2502,102724
274952,2502-000000-00,2502-03,Vibra - Housekeeping,2801 Eureka Way,Redding,CA,960010222,XX,MWF,2,25,0,25,0,25,0,0,350,$581,40.585765,-122.413179,"$1,162",0,T,2502,93112
273930,2502-000000-00,2502-03,Vibra Hospital of Northern Calif,2801 Eureka Way,Redding,CA,960010222,XX,MWF,2,20,0,20,0,20,0,0,"2,765","$2,117",40.585765,-122.413179,"$4,234",220,T,2502,92146
274954,2502-000000-00,2502-03,Vibra - Dietary,2801 Eureka Way,Redding,CA,960010222,XX,MWF,2,30,0,30,0,30,0,0,159,$124,40.585765,-122.413179,$248,0,T,2502,93114
257401,2502-054146-00,2502-05,COR Fire Station #4 Rdg,2605 S Bonnyview Rd,Redding,CA,960014516,XX,T,2,0,5,0,0,0,0,0,84,$37,40.530819,-122.376823,$74,0,I,2502,35704
170671,2502-055003-00,2502-05,Redding Oil Co. Pinegrove,2725 Cascade Blvd,Shasta Lake City,CA,96019,XX,R,2,0,0,0,4,0,0,0,29,$39,40.663510,-122.356950,$78,0,I,2502,35722
170686,2502-055555-00,2502-05,Wolfgang,1117 Parkview Ave,Redding,CA,96001-3203,X ,M,1,85,0,0,0,0,0,0,9,$14,40.573238,-122.385948,$14,0,I,2502,35738
170696,2502-056020-00,2502-05,COR Building Maintenance rdg,"20055 Viking Way, Bldg 4",Redding,CA,960038295,XX,F,2,0,0,0,0,76,0,0,10,$3,40.578331,-122.312401,$6,0,I,2502,35747
256387,2502-128337-00,2502-05,Kevin Kay Restorations,1530 Charles Dr,Redding,CA,960031459,XX,R,2,0,0,0,1,0,0,0,48,$101,40.629990,-122.374817,$202,2,T,2502,36334
242166,2502-757000-00,2502-05,PG&E Redding,3600 Meadow View Dr,Redding,CA,96002-9701,XX,W,2,0,0,19,0,0,0,0,40,$63,40.498379,-122.304672,$125,0,T,2502,36622
293382,2502-000000-00,2502-05,Kilby Equipment Repair,2650 Larkspur Lane,Redding,CA,96002,XX,R,2,0,0,0,6,0,0,0,3,$37,40.568390,-122.356340,$73,6,T,2502,110476
315176,2502-000000-00,2502-05,Integrity Heating & Air,5213 Industrial Way,Anderson,CA,96007,XX,W,2,0,0,1,0,0,0,0,0,$130,40.468870,-122.320990,$260,110,I,2502,130848
317106,2502-000000-00,2502-05,Shasta Lake Middle School - Cafeteria,4620 Vallecito Street,Shasta Lake,CA,96019,XX,R,2,0,0,0,1,0,0,0,0,$37,40.673460,-122.363230,$75,0,I,2502,132591
320902,2502-000000-00,2502-05,Cinders and Taste & See,2820 Freeman Street,Anderson,CA,96007,XX,W,2,0,0,106,0,0,0,0,0,$65,40.449110,-122.297440,$130,0,I,2502,136120
321459,2502-000000-00,2502-05,Poinsett's Machine Shop,2486 Progress Drive #3,Redding,CA,96001,XX,M,2,1,0,0,0,0,0,0,0,$28,40.557050,-122.384730,$56,1,I,2502,136636
201377,2502-337307-00,2502-05,Monarch Learning Crt,5307 Cedars Rd,Redding,CA,96001-4102,X ,T,1,0,230,0,0,0,0,0,60,$79,40.537560,-122.389107,$79,0,I,2502,36422
274378,2502-000000-00,2502-05,Kaleidoscope Coffee,2258 North St,Anderson,CA,960073437,XX,W,2,0,0,50,0,0,0,0,20,$27,40.453550,-122.297920,$53,0,T,2502,92562
291462,2502-000000-00,2502-05,Shasta Lake City Community Center,4499 Main Street,Shasta Lake,CA,96019,Y ,R,0,0,0,0,1,0,0,0,27,$0,40.682083,-122.365047,$0,0,T,2502,108682
303441,2502-000000-00,2502-05,California Dance Company,2150 Marx Way #1,Anderson,CA,96007,XX,W,2,0,0,141,0,0,0,0,0,$52,40.441600,-122.290260,$104,0,T,2502,119823
317098,2502-000000-00,2502-05,Buckeye School of Arts,3407 Hiatt Drive,Redding,CA,96003,XX,F,2,0,0,0,0,1,0,0,0,$80,40.630040,-122.403140,$159,0,I,2502,132584
257302,2502-052246-00,2502-05,COR Solid Waste Admin ,2255 Abernathy Ln,Redding,CA,960038057,XX,F,2,0,0,0,0,78,0,0,40,$10,40.575298,-122.314789,$20,0,I,2502,35649
257303,2502-056069-00,2502-05,COR Wastewater Collection Rdg,"20005 Viking Way, Bldg 3",Redding,CA,960038295,XX,F,2,0,0,0,0,74,0,0,40,$7,40.578348,-122.314354,$15,0,I,2502,35751
247562,2502-057400-60,2502-05,Shasta Lake W/Water, Tibitts Road,Shasta Lake,CA,96019, X,R,1,0,0,0,8,0,0,0,10,$15,40.659879,-122.389910,$15,0,I,2502,35785
